favorite_count,source,full_text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
237,Facebook,"It's IMPOSSIBLE to root against Coach K!

http://t.co/KJtVwpFIuE http://t.co/zWIDHEp77o",,False,Tue Apr 07 20:12:52 +0000 2015,108,585535734385369090
415,Hootsuite,I got to go w/ @okcthunder meeting @KingJames in the Finals. https://t.co/ytrQP7ARtO,,False,Wed Oct 28 02:55:05 +0000 2015,320,659201692769099776
813,Hootsuite,"""@kingjames knows we're coming for him."" - @DwyaneWade https://t.co/iEn4wImjz7",,False,Thu Oct 22 13:11:48 +0000 2015,655,657182565489577985
175,Twitter for iPhone,Uh-Oh. 13-2 run,,False,Sat Apr 18 18:42:41 +0000 2015,173,589499305276416000
9,Twitter for iPhone,@cjs444 Sur! if you could learn to mind your damn business and stop being foolish enough to think you can dream of telling me anything!,cjs444,False,Thu Apr 09 14:38:27 +0000 2015,4,586176351272566784
97,Twitter for iPhone,Look at my crew: ColemanESPN @ChrisBroussard @ESPN_FirstTake @JosinaAnderson. Keep doing y'all thing. P.S. Scoops outfit! I am SO PROUD!,stephenasmith,False,Fri Mar 06 15:31:07 +0000 2015,37,573868418237100032
69,Hootsuite,"RT @siriusxm: What's your reaction to Marshawn Lynch this week? Thoughts from @stephenasmith, @AdamSchein https://t.co/B8LQSSDkRP",,False,Thu Jan 29 14:14:38 +0000 2015,42,560803208281735168
130,Twitter Web Client,Do you think the @Royals are a lock in the American League now? https://t.co/XwUZOeIrun,,False,Mon Jul 27 17:36:17 +0000 2015,46,625721381838323713
342,Twitter for iPhone,I am here folks. Sorry for the delay to @FirstTake  on ESPN2. Traffic nightmare. Stood still for an hour. But I am here,,False,Wed Jul 22 14:16:38 +0000 2015,80,623859197428559872
120,Hootsuite,Peyton is getting no help from his running game. http://t.co/gFLmVbozVf,,False,Tue Oct 13 12:59:57 +0000 2015,54,653918094583328768
362,Twitter for iPhone,Just like I told @RealSkipBayless: Pelicans don't appear to have enough to do damage in this series. Warriors just appear too loaded.,,False,Sat Apr 18 20:34:52 +0000 2015,294,589527535639199744
288,Twitter for iPhone,Do everything we can to force the sport of boxing to stop @RealRoyJonesJr from getting into the ring again. Another KO? I love this man. I,,False,Sun Dec 13 17:13:14 +0000 2015,201,676087495260569602
328,Hootsuite,".@jmanziel2 wasn't awful on Sun.
http://t.co/zOpwWwTPGZ",,False,Tue Sep 15 13:06:10 +0000 2015,167,643772797857210368
993,Twitter Web Client,The NFC South is the @AtlantaFalcons' to lose QUITE FRANKLY! http://t.co/itpXOh6sJr,,False,Tue Aug 11 17:22:32 +0000 2015,1413,631153739135602688
49,Hootsuite,Tune in NOW! The great @rondarousey is on. @SiriusXM @MadDogRadio channel 85.,,False,Wed Mar 25 17:33:47 +0000 2015,14,580784657966501890
198,Twitter for iPhone,Now listen to an opposite position on Kam Chancellor from @raylewis: https://t.co/GXytq4e4Ve,,False,Mon Sep 14 19:51:22 +0000 2015,97,643512383139352576
13,Twitter for iPhone,@ugetu1 @FirstTake @MollyQerim @RealSkipBayless in a heartbeat,ugetu1,False,Tue Dec 01 16:57:25 +0000 2015,4,671734858272608256
91,Twitter Web Client,Ray Lewis is on the way in a few. Still taking your calls as well! 1-888-Maddog6.,,False,Mon Dec 14 19:24:34 +0000 2015,13,676482931897057280
40,Twitter Web Client,The one &amp; only @MelKiperESPN joins me now on @SIRIUSXM @MadDogRadio. Lots of football to talk about!!!,,False,Mon Mar 30 18:21:45 +0000 2015,15,582608666144219136
89,Twitter for iPhone,I see/hear all of y'all right here. You know how to find me: SiriusXM @MadDogRadio Channel 82. 1-3pm EST. I'll be damned if I'm hiding!!!,,False,Tue Nov 10 16:32:10 +0000 2015,28,664118360167292928
