favorite_count,source,full_text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
0,Twitter Web Client,"Heat are expected to be able to make moves that guarantees that as of July 8th, they'll be anywhere from $33-to-$43 million under the cap.",,False,Fri Jun 25 09:55:52 +0000 2010,3,17002878718
0,Twitter Web Client,I've also said Kevin Durant is one of the top-4 players in the game. He's officially a SuperStar. Just off the charts. The 2nd-coming of,,False,Wed Feb 24 11:33:28 +0000 2010,5,9572022740
0,Twitter Web Client,@crasie671 I always have........despite what folks fail to realize. http://myloc.me/5YH98,KeeReeDuu,False,Wed Apr 14 01:09:19 +0000 2010,0,12135530753
0,Twitter Web Client,@rhf22 I try my best.,rhf22,False,Mon Feb 08 01:00:43 +0000 2010,0,8787999143
0,Twitter Web Client,@Purplediva13 From your lips to God's ears.,PurpleDiva13,False,Thu Sep 30 12:50:33 +0000 2010,0,25975929351
0,Twitter for BlackBerry®,@bigE1209 Hell no. Blake Griffin has not had a better start than John Wall for ROY.,bigE1209,False,Wed Nov 03 04:03:35 +0000 2010,0,29539195501
0,Twitter Web Client,@White_LarryBird appreciate you Bro. Hope ur well http://myloc.me/8cFPu,Apache_Queeff,False,Mon Jun 14 13:13:19 +0000 2010,0,16146134008
0,Twitter for BlackBerry®,@mrhight24 He's a rookie. Disrespectful for him not to go thru the process. Lacks humility.,mrhight24,False,Mon Jul 26 15:23:27 +0000 2010,0,19581463428
0,Twitter for BlackBerry®,"@Purplediva13 Thank you, sweety. Appreciate the love.",PurpleDiva13,False,Wed Aug 25 14:22:58 +0000 2010,0,22092290583
0,Twitter for BlackBerry®,@StevenLenzJr Nope.,StevenLenzJr,False,Fri Jul 16 09:33:16 +0000 2010,0,18673175126
2,Twitter Web Client,"Whatever the particulars, HE did it. Not Stephen A! Not Peter Vecsey. Not the Media. Gilbert Arenas did this to himself. His call. And",,False,Mon Jan 04 05:45:52 +0000 2010,4,7357868705
0,Twitter for BlackBerry®,@PaulLyn305 Hell No! I'd pick Favre before I picked Romo and I'm not even going with Favre.,SwaggyP305,False,Fri Jul 30 18:32:56 +0000 2010,0,19930417055
0,Twitter for BlackBerry®,@BobbyBroad Darren Rove ll from CNBC.,BobbyBroad,False,Thu Jul 08 12:59:34 +0000 2010,0,18032413509
0,Twitter Web Client,"@wookie007 Thank you for the kind words, sir.",wookie007,False,Wed Apr 28 12:15:07 +0000 2010,0,13002902198
4,Twitter for BlackBerry®,@Toysruskiddd I don't give a damn who doesn't want to follow me. I engage in real talk. Anybody having a problem with that can go kick rocks,Toysruskiddd,False,Fri Dec 10 04:08:59 +0000 2010,2,13082724860432384
2,Twitter Web Client,"@JonathanMartin7 Actually, they say I look more like THE NOID from Dominoes' Pizza. Might wanna get your eyes checked :-)",JonathanMartin7,False,Thu Jun 03 17:59:08 +0000 2010,3,15341945579
0,Twitter Web Client,"@TheLargWhiteMan sorry you feel that way, my man. I'll have to win you over :-)",ThatRodneyGuy,False,Sat Jan 16 00:31:53 +0000 2010,0,7808095337
0,Twitter Web Client,"@EMcGeeJr Thank ya, my man.",EMcGeeJr,False,Thu Feb 25 16:44:59 +0000 2010,0,9633300104
0,Twitter for BlackBerry®,"@NFLLuva What do I want, Girl? Tell me. I'm listening.",NFLLuva,False,Sun Sep 12 15:34:15 +0000 2010,0,24292845155
0,Twitter Web Client,@DragonflyJonez Yes I did.,DragonflyJonez,False,Mon Feb 01 19:08:47 +0000 2010,0,8509891600
0,Twitter for BlackBerry®,I see people are blogging about my comments on Favre and Deadspin already. Here's all I have to say: It's incredibly understandable for any,,False,Fri Oct 08 18:30:40 +0000 2010,1,26774440654
0,Twitter Web Client,"@zzsoxx No. I believe that's Deron Williams. But D-Rose could be very, very soon.",zzsoxx,False,Mon Apr 19 00:46:11 +0000 2010,0,12427424416
0,Twitter for BlackBerry®,@Splendiferous1 :-) Whatever you say my dear. You're definitely entitled to your opinion.,Splendiferous1,False,Thu Aug 26 01:02:46 +0000 2010,0,22135339494
0,Twitter Web Client,@samanthakonski huh? http://myloc.me/6KvbP,,False,Thu May 06 00:10:30 +0000 2010,0,13455887969
0,Twitter Web Client,"@RehemaEDUTAINER Nothing. Don't watch it, sweetheart. Not interested in it, at all. Sorry.",RehemaEDUTAINER,False,Wed Apr 21 13:10:37 +0000 2010,0,12575318109
0,Twitter Web Client,@inmontoyautrust Haaaaaaaaaaa. Come on! don't say that :-),,False,Mon May 24 12:12:41 +0000 2010,0,14619057947
0,Twitter Web Client,@blocdeniro Only if Richard Jefferson shows up.,blocdeniro,False,Sun Apr 04 18:47:53 +0000 2010,0,11600626573
0,Twitter for BlackBerry®,"@MUNCHEEEESE Absolutely! I think they should,...especially since the constant pressure of being a role model is cemented on their shoulders.",_Ranu2222,False,Wed Nov 03 22:23:20 +0000 2010,0,29611936346
0,Twitter Web Client,@VeeAye4prez New York :-) Wishful thinking.,VeeAye4prez,False,Sun Jun 13 17:51:41 +0000 2010,0,16087058849
1,Twitter for BlackBerry®,Fyi.....I just recorded a Podcast for my new partners at Philly Sports Daily. Go to www.PhillySportsDaily.com and check it out.,,False,Fri Sep 03 14:19:48 +0000 2010,1,22890841195
0,Twitter Web Client,"@matthewvandyk Who knows, my man. I'll just keep on trying to get better. thanks for listening.",mattvandyk,False,Mon Jan 11 14:03:42 +0000 2010,0,7630214121
0,Twitter Web Client,"@AntiHipocrisy We're on the phone, which means he's at the controls. Here's hoping I get in a word edge-wise :-)",AntiHipocrisy,False,Fri Jul 02 19:48:57 +0000 2010,0,17595796281
0,Twitter Web Client,@Centamentl it's coming back in a few days. http://myloc.me/5YmVo,Centamentl,False,Tue Apr 13 19:46:58 +0000 2010,0,12120963879
0,Twitter for BlackBerry®,@JH0120 They're certainly a team to be reckoned with.,,False,Mon Oct 04 02:16:10 +0000 2010,0,26324547113
0,Twitter Web Client,"@kerm431 Thanks, my man!!!",Real420Kirk,False,Tue Jun 22 17:37:56 +0000 2010,0,16786689550
0,Twitter for BlackBerry®,@cousindannyjr would love to meet up with him. Anytime. Any place. He's the one hard to find.......not me. And you can tell him I said just,cousindannyjr,False,Sun Sep 12 16:49:26 +0000 2010,0,24298704326
6,Twitter for BlackBerry®,@apropos69 just need to mind our damn business. Your inability to comprehend the difference is YOUR PROBLEM. Now who's the House Negro?,apropos69,False,Fri Oct 15 18:44:24 +0000 2010,5,27468301481
0,Twitter Web Client,"@LaVern25 I don't know how to feel about that, honestly!",LaVern25,False,Mon Apr 26 19:45:56 +0000 2010,0,12900971002
0,Twitter for BlackBerry®,@TonyHanesPoetry The Heat......especially if they get Derek Fisher and Mike Miller.,EnterDaDome,False,Sun Jul 11 16:11:34 +0000 2010,2,18281272011
1,Twitter for BlackBerry®,@GoBlue011406 yes! Channel 142..sirius/XM,CL_V_CSM,False,Mon Oct 11 11:48:46 +0000 2010,0,27026016629
0,Twitter for BlackBerry®,@MrShadM what did he say?,MrShadM,False,Mon Aug 09 08:59:14 +0000 2010,0,20693798277
0,Twitter Web Client,"@daddylevon Appreciate the love, my man.",daddylevon,False,Wed Feb 17 02:10:04 +0000 2010,0,9213823566
0,Twitter Web Client,"@Zemrag_Skrap If facts were not accentuate with opinions, you wouldn't be listening, bro. Conversations would not exist.",Zemrag7,False,Thu Jan 28 13:01:11 +0000 2010,0,8321479707
0,Twitter Web Client,@illakiladelph Amen! That's what the hell I said.,,False,Thu Jan 14 12:29:32 +0000 2010,0,7746001395
0,Twitter for BlackBerry®,@ArsenalASJ Which segment.,SummerlinShoota,False,Tue Nov 02 12:49:59 +0000 2010,0,29466345964
1,Twitter for BlackBerry®,"@Dlatshaw17 google it, man.",DLatshawTurf,False,Sat Nov 13 18:09:50 +0000 2010,0,3509858317897728
0,Twitter Web Client,@jpac87 Thanks Bro!,jpac87,False,Thu Jun 24 20:49:05 +0000 2010,0,16960495021
0,Twitter Web Client,"@Gerican Don't remind me, dear. I'm still upset I wasn't there.",Gerican,False,Tue Aug 31 10:34:17 +0000 2010,0,22604830578
0,Twitter Web Client,@agfinsU LeBron. http://myloc.me/8w9dH,agfinsU,False,Mon Jun 28 02:10:06 +0000 2010,0,17215565154
0,Twitter Web Client,@passion4traveln yep,passion4traveln,False,Fri Feb 05 05:23:25 +0000 2010,0,8665196768
0,Twitter Web Client,@numbskullgop Feel free. Looking forward to it.,numbskullgop,False,Mon Feb 01 19:13:47 +0000 2010,0,8510055361
0,Twitter Web Client,@RevAngela thank you dear.,RevAngela,False,Mon Jan 11 06:30:53 +0000 2010,0,7621257348
0,Twitter for BlackBerry®,@JH0120 Yep :-),,False,Sun Sep 12 21:15:10 +0000 2010,0,24316962867
0,Twitter for BlackBerry®,@gutshot1 Thank ya baby!,gutshot1,False,Tue Dec 21 16:27:01 +0000 2010,0,17254723232989184
0,Twitter Web Client,"@jerseyal609 Thanks, bro.",JerseyBull609,False,Thu Apr 22 11:35:09 +0000 2010,0,12633573499
0,Twitter Web Client,@netta1019AIFAN I'm good. Happy Easter.,NETTA0281,False,Sun Apr 04 18:37:53 +0000 2010,0,11600252610
1,Twitter Web Client,@nappyfro Definitely wouldn't describe myself as that cop. He hated his own people. That could never -- ever -- be me.,nappyfro,False,Tue Mar 09 16:25:24 +0000 2010,0,10227317796
0,Twitter Web Client,@secole13 I'm in LA now. Back in New York next week and beyond.,secole13,False,Mon Jan 11 12:04:18 +0000 2010,0,7627238866
0,Twitter Web Client,@HeathRadke It's not right. Nobody else can get away with this. Nobody.,HeathRadke,False,Thu Jul 15 10:45:50 +0000 2010,0,18592989910
0,Twitter Web Client,@jwells1914 I asked that question.,KingWells_,False,Tue Jul 13 12:35:09 +0000 2010,0,18433321138
0,Twitter for BlackBerry®,@asya619 Because I'm inclined to believe he'd be greedy enough NOT to left anyone jeopardize a $60 mil payday.,amykrumb,False,Sat Sep 11 15:48:35 +0000 2010,0,24204664618
0,Twitter Web Client,"@Leverman2010 Thank you, my man.",,False,Thu Feb 11 02:56:59 +0000 2010,0,8942941833
0,Twitter Web Client,"Hey everybody, make sure to check out the new website of my Radio Show. http://www.stephenasmithshow.com/main.html",,False,Sat Feb 13 16:35:51 +0000 2010,5,9061483115
0,Twitter for BlackBerry®,There FLOSSING in anyway. It doesn't look good. Doesn't work for the players. Period.,,False,Wed Sep 29 12:32:34 +0000 2010,2,25878312244
0,Twitter Web Client,"@LaLaVuitton Yeah, I caught it. May touch on it a little bit.",Somebodys_Son,False,Thu Jan 28 11:51:45 +0000 2010,0,8319607970
0,Twitter Web Client,here in the future.,,False,Sat Nov 27 00:55:10 +0000 2010,0,8322906626985985
0,Twitter Web Client,"@lozotweets Well, work on it. and I've got bad news for you: Folks have told me I've stopped yelling considerably. Find another complaint.",lozotweets,False,Thu Jan 14 06:12:09 +0000 2010,0,7738880792
0,Twitter Web Client,@stayupongame I have no idea. I'd have to look that up.,stayupongame,False,Fri Jan 22 11:27:46 +0000 2010,0,8066016769
0,Twitter for BlackBerry®,"@dcboysfan22 Stop with the ""sell out"" stuff, bruh! Nothing funny about that. But you know Favre stuff is funny as hell :-)",dcboysfan22,False,Fri Sep 03 10:30:00 +0000 2010,0,22876149382
5,Twitter for BlackBerry®,Sports Radio 6-to-9 am EST and Sirius/XM Channel 142. Or listen on-line at StephenASmithShow.com or AM570Radio.com or FoxSportsRadio.com.,,False,Wed Jul 07 03:38:43 +0000 2010,2,17919646674
13,Twitter Web Client,"Ladies learn how to treat the guys who seem like they love something more than them. I'm here for ya (smile!!!!). But ladies, I won't leave",,False,Sun Jan 31 19:03:03 +0000 2010,35,8462006516
0,Twitter Web Client,"@Gocats5411 Gotta go to a game this year. Gotta get to Lexington, Ky.",carterhahn45,False,Sun Feb 07 17:07:37 +0000 2010,0,8770917625
0,Twitter Web Client,"@keithfree Man, you better start tuning into the Stephen A. Smith Show on FoxSports Radio. I talked about this for 10 minutes on Friday.",keithfree,False,Sat Jan 09 19:11:59 +0000 2010,0,7565951890
0,Twitter Web Client,@MatttyBoi Yep. Gotta lot of respect for those boys.,,False,Fri Aug 27 11:31:41 +0000 2010,0,22259192937
0,Twitter Web Client,@juergenscj Wow!,CJJuergens,False,Mon Mar 29 11:28:11 +0000 2010,0,11244351352
